StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q12,Q13,Q25,Q3,Q6,Q7,Q8,Q9,Q10,Q11,Q15,Q19,Q20,Q21,Q17,Q18,Q22,Q23,mTurk
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,Do you use Facebook?,Are you fluent in the Chinese language?,AMP PROCEDURE,"On average, approximately how many minutes per day do you spend on Facebook?",How often do you check your Facebook account?,How often do you check your own wall?,How often do you change your Facebook status?,How often do you send private Facebook messages?,How often do you comment on others' photos?,How often do you post on others' walls?,I want to use Facebook right now.,I would love if it was possible to use Facebook right now.,I will use Facebook immediately after I finished this survey.,I strongly desire to use Facebook right now.,I don't need Facebook at the moment.,"Right now, I am craving to use Facebook.",What is your age?,I am a ...,mTurk
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID12""}","{""ImportId"":""QID13""}","{""ImportId"":""QID25_TEXT""}","{""ImportId"":""QID3""}","{""ImportId"":""QID6""}","{""ImportId"":""QID7""}","{""ImportId"":""QID8""}","{""ImportId"":""QID9""}","{""ImportId"":""QID10""}","{""ImportId"":""QID11""}","{""ImportId"":""QID15""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID17""}","{""ImportId"":""QID18""}","{""ImportId"":""QID22_TEXT""}","{""ImportId"":""QID23""}","{""ImportId"":""mTurk""}"
11/14/20 22:22,11/14/20 22:24,IP Address,73.158.171.49,100,101,TRUE,11/14/20 22:24,R_2P0VWuqP8OdONpv,,,,,37.31770325,-122.0438004,anonymous,EN,Yes,Yes,"block,trial,cond,cat,resp,err,rt,fb
1,0,instructions,dummyForLog,space,0,945,
1,1,example,examplePrime,Unpleasant,1,217,
1,2,example,examplePrime,Unpleasant,1,558,
1,3,example,examplePrime,Unpleasant,1,304,
1,4,example,examplePrime,Unpleasant,1,192,
1,5,example,examplePrime,Unpleasant,1,210,
2,6,instructions,dummyForLog,space,0,735,
2,7,Social media,Social media,Pleasant,0,1283,
2,8,Control,Control,Unpleasant,1,380,
2,9,Control,Control,Unpleasant,1,194,
2,10,Social media,Social media,Pleasant,0,296,
2,11,Social media,Social media,Pleasant,0,235,
2,12,Control,Control,Unpleasant,1,288,
2,13,Social media,Social media,Pleasant,0,230,
2,14,Control,Control,Unpleasant,1,335,
2,15,Social media,Social media,Pleasant,0,387,
2,16,Control,Control,Unpleasant,1,402,
2,17,Social media,Social media,Pleasant,0,237,
2,18,Control,Control,Pleasant,0,226,
2,19,Control,Control,Unpleasant,1,280,
2,20,Social media,Social media,Pleasant,0,208,
2,21,Social media,Social media,Pleasant,0,485,
2,22,Control,Control,Unpleasant,1,522,
2,23,Social media,Social media,Pleasant,0,219,
2,24,Control,Control,Unpleasant,1,225,
2,25,Control,Control,Pleasant,0,86,
2,26,Social media,Social media,Pleasant,0,167,
2,27,Control,Control,Unpleasant,1,96,
2,28,Social media,Social media,Pleasant,0,338,
2,29,Social media,Social media,Unpleasant,1,222,
2,30,Control,Control,Unpleasant,1,298,
2,31,Social media,Social media,Pleasant,0,201,
2,32,Control,Control,Unpleasant,1,288,
2,33,Control,Control,Unpleasant,1,284,
2,34,Social media,Social media,Pleasant,0,323,
2,35,Social media,Social media,Pleasant,0,327,
2,36,Control,Control,Unpleasant,1,281,
2,37,Control,Control,Unpleasant,1,272,
2,38,Social media,Social media,Pleasant,0,280,
2,39,Control,Control,Unpleasant,1,298,
2,40,Social media,Social media,Pleasant,0,253,
2,41,Social media,Social media,Unpleasant,1,256,
2,42,Control,Control,Unpleasant,1,455,
2,43,Control,Control,Pleasant,0,435,
2,44,Social media,Social media,Pleasant,0,260,
2,45,Control,Control,Pleasant,0,535,
2,46,Social media,Social media,Pleasant,0,504,
2,47,Control,Control,Unpleasant,1,276,
2,48,Social media,Social media,Pleasant,0,288,
2,49,Control,Control,Unpleasant,1,256,
2,50,Social media,Social media,Pleasant,0,244,
2,51,Control,Control,Unpleasant,1,779,
2,52,Social media,Social media,Pleasant,0,378,
2,53,Control,Control,Unpleasant,1,404,
2,54,Social media,Social media,Pleasant,0,338,
2,55,Control,Control,Unpleasant,1,533,
2,56,Social media,Social media,Pleasant,0,328,
2,57,Social media,Social media,Unpleasant,1,470,
2,58,Control,Control,Unpleasant,1,490,
2,59,Control,Control,Unpleasant,1,722,
2,60,Social media,Social media,Pleasant,0,437,
2,61,Social media,Social media,Pleasant,0,479,
2,62,Control,Control,Unpleasant,1,318,
2,63,Control,Control,Unpleasant,1,335,
2,64,Social media,Social media,Pleasant,0,266,
2,65,Control,Control,Unpleasant,1,257,
2,66,Social media,Social media,Pleasant,0,309,
0,67,instructions,dummyForLog,space,0,585,
9,999,end,,,,,After Social media: 27 of your responses were Pleasant; 3 of your responses were Unpleasant; <br/>After Control: 26 of your responses were Unpleasant; 4 of your responses were Pleasant; <br/>",10-30 minutes,More than 4 times daily,Twice monthly,A few times a year,More than 4 times daily,Twice daily,Less than once monthly,Agree,Agree,Agree,Agree,Agree,Agree,23,Woman,526021
11/14/20 22:24,11/14/20 22:25,IP Address,73.158.171.49,100,96,TRUE,11/14/20 22:25,R_YavVL8lYBIWAmVb,,,,,37.31770325,-122.0438004,anonymous,EN,Yes,No,"block,trial,cond,cat,resp,err,rt,fb
1,0,instructions,dummyForLog,space,0,1243,
1,1,example,examplePrime,Pleasant,0,1083,
1,2,example,examplePrime,Pleasant,0,183,
1,3,example,examplePrime,Pleasant,0,115,
1,4,example,examplePrime,Unpleasant,1,80,
1,5,example,examplePrime,Pleasant,0,15,
2,6,instructions,dummyForLog,space,0,602,
2,7,Control,Control,Unpleasant,1,1258,
2,8,Social media,Social media,Pleasant,0,465,
2,9,Control,Control,Unpleasant,1,250,
2,10,Social media,Social media,Unpleasant,1,249,
2,11,Control,Control,Pleasant,0,93,
2,12,Social media,Social media,Unpleasant,1,179,
2,13,Control,Control,Unpleasant,1,125,
2,14,Social media,Social media,Unpleasant,1,142,
2,15,Control,Control,Unpleasant,1,195,
2,16,Social media,Social media,Unpleasant,1,116,
2,17,Social media,Social media,Pleasant,0,291,
2,18,Control,Control,Unpleasant,1,116,
2,19,Control,Control,Unpleasant,1,126,
2,20,Social media,Social media,Pleasant,0,32,
2,21,Control,Control,Unpleasant,1,443,
2,22,Social media,Social media,Unpleasant,1,105,
2,23,Social media,Social media,Unpleasant,1,118,
2,24,Control,Control,Pleasant,0,92,
2,25,Control,Control,Unpleasant,1,74,
2,26,Social media,Social media,Pleasant,0,312,
2,27,Control,Control,Unpleasant,1,637,
2,28,Social media,Social media,Pleasant,0,239,
2,29,Social media,Social media,Unpleasant,1,49,
2,30,Control,Control,Unpleasant,1,213,
2,31,Social media,Social media,Unpleasant,1,629,
2,32,Control,Control,Pleasant,0,467,
2,33,Control,Control,Unpleasant,1,11,
2,34,Social media,Social media,Unpleasant,1,142,
2,35,Social media,Social media,Unpleasant,1,440,
2,36,Control,Control,Pleasant,0,304,
2,37,Control,Control,Unpleasant,1,251,
2,38,Social media,Social media,Pleasant,0,232,
2,39,Social media,Social media,Unpleasant,1,214,
2,40,Control,Control,Unpleasant,1,475,
2,41,Social media,Social media,Pleasant,0,339,
2,42,Control,Control,Unpleasant,1,384,
2,43,Social media,Social media,Pleasant,0,242,
2,44,Control,Control,Unpleasant,1,137,
2,45,Control,Control,Pleasant,0,50,
2,46,Social media,Social media,Pleasant,0,68,
2,47,Control,Control,Unpleasant,1,4,
2,48,Social media,Social media,Pleasant,0,20,
2,49,Social media,Social media,Unpleasant,1,31,
2,50,Control,Control,Pleasant,0,202,
2,51,Social media,Social media,Unpleasant,1,31,
2,52,Control,Control,Unpleasant,1,484,
2,53,Control,Control,Pleasant,0,103,
2,54,Social media,Social media,Unpleasant,1,122,
2,55,Social media,Social media,Pleasant,0,132,
2,56,Control,Control,Unpleasant,1,115,
2,57,Social media,Social media,Pleasant,0,137,
2,58,Control,Control,Unpleasant,1,58,
2,59,Control,Control,Pleasant,0,34,
2,60,Social media,Social media,Pleasant,0,472,
2,61,Social media,Social media,Unpleasant,1,121,
2,62,Control,Control,Pleasant,0,254,
2,63,Control,Control,Unpleasant,1,64,
2,64,Social media,Social media,Pleasant,0,113,
2,65,Social media,Social media,Unpleasant,1,115,
2,66,Control,Control,Pleasant,0,77,
0,67,instructions,dummyForLog,space,0,695,
9,999,end,,,,,After Control: 20 of your responses were Unpleasant; 10 of your responses were Pleasant; <br/>After Social media: 14 of your responses were Pleasant; 16 of your responses were Unpleasant; <br/>",10 minutes or less,Once daily,Less than once monthly,Once monthly,More than 4 times daily,Once weekly,Once monthly,Disagree,Disagree,Neutral,Disagree,Strongly agree,Disagree,23,Man,837065